TYPE;CODE;NAME;IBLOCK_CODE
S;SORT;Код элемента справочника;
S;ARTICLE;Код производителя (Артикул);
E;BASE_UNIT;Базовая единица измерения (БазоваяЕдиница);EDINICY
N;WEIGHT;ВесЯщика;
N;OBEMJASCHIKA;ОбъемЯщика;
N;VODNOMMESTE;В одном месте (ВодномМесте);
N;MESTSHTUK;Мест штук (МестШтук);
N;KOLICHESTVOZALPOV;Количество залпов (КоличествоЗалпов);
S;KALIBR;Калибр (Калибр);
N;VREMJARABOTY;Время работы (сек):  (ВремяРаботы);
S;BREND;Бренд (Бренд1);
N;SHTRIHKODSAJT;Штрихкод сайт (ШтрихКодСайт);
N;KOLVOOPT;Минимальное количество для продажи оптом (КолвоОПТ);
S;VYSOTAPOLETA;ВысотаПолета (ВысотаПолета);
S;POLNNAIMENOVANIESAJT;Полное наименование сайт (ПолнНаименованиеСайт);
S;DETAIL_TEXT;Описание (ОписаниеСайт);
N;RASPRODAZHA;Распродажа (Распродажа);
N;NOVINKA;Новинка;
N;WIDTH;ШиринаСайт;
N;LENGTH;ВысотаСайт;
N;HEIGHT;ГлубинаСайт;
N;KOLICHESTVOVPERVOMRAZRJADE;Коэффициент 1 разряд (КоличествоВПервомРазряде);
N;KOLICHESTVOVOVTOROMRAZRJADE;Количество во втором разряде (КоличествоВоВторомРазряде);
S;NAIMENOVANIEPERVOGORAZRJADA;Наименование первого разряда (НаименованиеПервогоРазряда);
S;NAIMENOVANIEVTOROGORAZRJADA;Наименование второго разряда (НаименованиеВторогоРазряда);
N;KOLICHESTVOVTRETEMRAZRJADE;Коэффициент 3 разряда (КоличествоВтретьемРазряде);
S;NAIMENOVANIETRETEGORAZRJADA;Наименование третьего разряда (НаименованиеТретьегоРазряда);
S;MINIMALNAJATORGEDINICAVOPTENAIMENOVANIE;Минимальная торговая единица в опте (МинимальнаяТоргЕдиницаВоптеНаименование);
S;MINIMALNAJATORGEDINICAVROZNICENAIMENOVANIE;Минимальная торговая единица в рознице (МинимальнаяТоргЕдиницаВРозницеНаименование);
N;VESMINTORG;Вес минимальной торговой единицы (ВесМинТорг);
N;OBEMMINTORG;Объем минимальной торговой единицы (ОбъемМинТорг);
N;HITPRODAZH;Хит Продаж (ХитПродаж);
N;NEOTOBRAZHATNASAJTE;Отобразить На Сайте (ОтобразитьНаСайте);
N;SHIRINASAJTROZNICA;Ширина Сайт розница (ШиринаСайтРозница);
N;VYSOTASAJTROZNICA;Высота Сайт Розница (ВысотаСайтРозница);
N;DLINASAJTROZNICA;Длина Сайт Розница (ДлинаСайтРозница);
S;SHIRINASAJTROZNICANAIMENOVANIE;Ширина Сайт Розница Наименование (ШиринаСайтРозницаНаименование);
S;VYSOTASAJTROZNICANAIMENOVANIE;Высота Сайт Розница Наименование (ВысотаСайтРозницаНаименование);
S;DLINASAJTROZNICANAIMENOVANIE;Длина Сайт Розница Наименование (ДлинаСайтРозницаНаименование);
S;DIAMETRSAJTROZNICANAIMENOVANIE;Диаметр Сайт розница Наименование (ДиаметрСайтРозницаНаименование);
N;TOLSCHINASAJTROZNICA;Толщина Сайт розница (ТолщинаСайтРозница);
S;TOLSCHINASAJTROZNICANAIMENOVANIE;Толщина Сайт Розница Наименование (ТолщинаСайтРозницаНаименование);
N;ROZNICHNYJVES;Розничный вес (РозничныйВес);
N;ROZNICHNYJOBEM;Розничный объем (РозничныйОбъем);
S;NAIMENOVANIEVES;Наименование Вес (НаименованиеВес);
S;NAIMENOVANIEOBEM;Наименование объем (НаименованиеОбъем);
N;DIAMETRSAJTROZNICA;Диаметр Сайт розница (ДиаметрСайтРозница);
N;ROZNICAAKCIJA;Розница акция (РозницаАкция);
N;NOVINKIROZNICA;Новинки Розница (НовинкиРозница);
N;HITYPRODAZHROZNICA;Хиты Продаж Розница (ХитыПродажРозница);
N;SHIRINASAJTOPT;Ширина Сайт Опт (ШиринаСайтОпт);
N;VYSOTASAJTOPT;Высота Сайт Опт (ВысотаСайтОпт);
N;DLINASAJTOPT;Длина Сайт Опт (ДлинаСайтОпт);
S;SHIRINASAJTOPTNAIMENOVANIE;Ширина Сайт Опт Наименование (ШиринаСайтОптНаименование);
S;VYSOTASAJTOPTNAIMENOVANIE;Высота Сайт Опт Наименование (ВысотаСайтОптНаименование);
S;DLINASAJTOPTNAIMENOVANIE;Длина Сайт Опт Наименование (ДлинаСайтОптНаименование);
N;TOLSCHINASAJTOPT;Толщина Сайт Опт (ТолщинаСайтОпт);
S;TOLSCHINASAJTOPTNAIMENOVANIE;Толщина Сайт ОптНаименование (ТолщинаСайтОптНаименование);
N;OPTVES;Опт вес (ОптВес);
N;OPTOBEM;Опт объем (ОптОбъем);
S;NAIMENOVANIEVESOPT;Наименование Вес Опт (НаименованиеВесОпт);
S;NAIMENOVANIEOBEMOPT;Наименование объем Опт (НаименованиеОбъемОпт);
N;DIAMETRSAJTOPT;Диаметр Сайт Опт (ДиаметрСайтОпт);
S;DIAMETRSAJTOPTNAIMENOVANIE;Диаметр Сайт Опт Наименование (ДиаметрСайтОптНаименование);
N;PROCENTSKIDKI;Процент скидки (ПроцентСкидки);
N;PROF;Профессиональная пиротехника (Проф);
