IBLOCK_ID;XML_ID;QUANTITY;QUANTITY_TRACE;VAT;WEIGHT;CAN_BUY_ZERO;NEGATIVE_AMOUNT_TRACE;MEASURE;LENGTH;WIDTH;HEIGHT;AB6F91A1-69DA-4132-9556-C2565FCD97B4;CURAB6F91A1-69DA-4132-9556-C2565FCD97B4;53279416-7035-435D-9B18-3BA546161988;CUR53279416-7035-435D-9B18-3BA546161988
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба96644;0;Y;20;4200;N;N;796;0;0;0;76.94;RUB;77;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т8311;0;Y;20;16000;N;N;796;0;0;0;6800;RUB;6800;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т8303;0;Y;20;16000;N;N;796;0;0;0;7000;RUB;7000;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба8858;0;Y;20;13000;N;N;796;0;0;0;7000;RUB;7000;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т8412;0;Y;20;0;N;N;796;0;0;0;3300;RUB;3300;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т7705;0;Y;20;28000;N;N;796;0;0;0;10500;RUB;10500;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т8312;0;Y;20;16000;N;N;796;0;0;0;6800;RUB;6800;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т8169;0;Y;20;28000;N;N;796;0;0;0;10500;RUB;10500;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба9575;0;Y;20;12000;N;N;796;0;0;0;2850;RUB;2850;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т8864;0;Y;20;22000;N;N;796;0;0;0;8000;RUB;8000;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т8597;0;Y;20;21000;N;N;796;0;0;0;8200;RUB;8200;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т8622;0;Y;20;19000;N;N;796;0;0;0;10500;RUB;10500;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т4262;0;Y;20;18000;N;N;796;0;0;0;5600;RUB;5600;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т7645;0;Y;20;14000;N;N;796;0;0;0;8000;RUB;8000;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т8590;0;Y;20;0;N;N;796;0;0;0;3300;RUB;3300;RUB
