IBLOCK_ID;SECTION_XML_ID;XML_ID;CODE;NAME;PICTURE
B658816D-ECD0-44A2-AC83-AFB566EEA983;;4;08_RUSSKAJA_PIROTEHNIKA;08 Русская пиротехника;0
B658816D-ECD0-44A2-AC83-AFB566EEA983;4;Р8467;GATCHINSKIJ_ZAVOD_AVANGARD_HLOPUSHKI;Гатчинский Завод Авангард Хлопушки;0
B658816D-ECD0-44A2-AC83-AFB566EEA983;;3;07_BATAREI_SALJUTOV;07 Батареи салютов;0
B658816D-ECD0-44A2-AC83-AFB566EEA983;3;Р8632;BATAREI_SALJUTOV__GALAKTIKA_;Батареи салютов (Галактика);0
B658816D-ECD0-44A2-AC83-AFB566EEA983;3;СР9380;BATAREI_SALJUTOV__PREMERSALJUT_;Батареи салютов (Премьер-Салют);0
B658816D-ECD0-44A2-AC83-AFB566EEA983;3;СР99676;BATAREI_SALJUTOV__LEGENDA_;Батареи салютов (Легенда);0
B658816D-ECD0-44A2-AC83-AFB566EEA983;;04;04_FONTANY;04 Фонтаны;0
B658816D-ECD0-44A2-AC83-AFB566EEA983;04;СР8629;FONTANY__GALAKTIKA_;Фонтаны (Галактика);0
B658816D-ECD0-44A2-AC83-AFB566EEA983;3;СР8733;BATAREI_SALJUTOV__PROCHIE_;Батареи салютов (Прочие);0
B658816D-ECD0-44A2-AC83-AFB566EEA983;3;Т371;BATAREI_SALJUTOV__GALAKTIKA_NOVAJA_;Батареи салютов (Галактика новая);0
B658816D-ECD0-44A2-AC83-AFB566EEA983;4;099;GATCHINSKIJ_ZAVOD_AVANGARD_BENGALSKIE_SVECHI;Гатчинский Завод Авангард Бенгальские Свечи;0
B658816D-ECD0-44A2-AC83-AFB566EEA983;3;СР99092;BATAREI_SALJUTOV__LETUCHIJ_GOLLANDEC_;Батареи салютов (Летучий Голландец);0
B658816D-ECD0-44A2-AC83-AFB566EEA983;;08;05_RIMSKIE_SVECHI;05 Римские свечи;0
